지역명,자치구명,지역종류,위도,경도,건물용도,거래유형,거래건수,신뢰등급,출처,매매가,매매가_25,매매가_75,보증금,보증금_25,보증금_75,월임대료,면적_중앙값,면적_25,면적_75,㎡당_중앙값
세곡동,강남구,행정동,37.4594019922679,127.05742833805868,단독다가구,매매,34,높음,자치구,412500.0,316250.0,698750.0,,,,,287.1,246.8,395.0,1338.424
세곡동,강남구,행정동,37.4594019922679,127.05742833805868,아파트,매매,107,높음,해당지역,179000.0,149500.0,215000.0,,,,,84.8,59.9,98.2,2272.727
세곡동,강남구,행정동,37.4594019922679,127.05742833805868,연립다세대,매매,13,보통,해당지역,232500.0,144000.0,249500.0,,,,,95.9,70.8,108.3,2302.861
세곡동,강남구,행정동,37.4594019922679,127.05742833805868,오피스텔,매매,109,높음,해당지역,17000.0,15300.0,22700.0,,,,,25.1,22.4,29.9,696.39
세곡동,강남구,행정동,37.4594019922679,127.05742833805868,단독다가구,월세,85,높음,해당지역,,,,10000.0,,,70.0,56.0,46.9,67.4,
세곡동,강남구,행정동,37.4594019922679,127.05742833805868,아파트,월세,967,높음,해당지역,,,,12627.0,,,26.0,44.9,36.8,59.9,
세곡동,강남구,행정동,37.4594019922679,127.05742833805868,연립다세대,월세,15,보통,해당지역,,,,50000.0,,,80.0,83.3,59.7,105.5,
세곡동,강남구,행정동,37.4594019922679,127.05742833805868,오피스텔,월세,716,높음,해당지역,,,,3000.0,,,73.0,24.6,22.4,26.7,
세곡동,강남구,행정동,37.4594019922679,127.05742833805868,단독다가구,전세,55,높음,해당지역,,,,35000.0,29000.0,45000.0,,59.0,52.9,71.9,583.902
세곡동,강남구,행정동,37.4594019922679,127.05742833805868,아파트,전세,687,높음,해당지역,,,,43410.0,30807.0,73250.0,,84.4,60.0,85.0,583.159
세곡동,강남구,행정동,37.4594019922679,127.05742833805868,연립다세대,전세,13,보통,해당지역,,,,120000.0,67000.0,135000.0,,105.8,59.7,108.3,1124.538
